timestamp,ra_email,authors,year,journal,doi,abstract_text,keywords,n_experiments,hypothesis_present,age_1,n_boys_n_girls_age_1,age_2,n_boys_n_girls_age_2,age_3,n_boys_n_girls_age_3,age_4,n_boys_n_girls_age_4,n_boys_n_girls,sample_age,sexdiff_analysis_reported,sexdiff_reported,sexdiff_stats,is_exp2,exp2_n_boys_n_girls,exp2_sample_age,exp2_sexdiff_analysis_reported,exp2_sexdiff_reported,is_exp3,exp3_n_boys_n_girls,exp3_sample_age,exp3_sexdiff_analysis_reported,exp3_sexdiff_reported,is_exp4,reliability_coding,is_longitudinal,is_multi_age
10/8/2020 14:06,rlyang@princeton.edu,"Colombo, Shaddy, Anderson, Gibson, Blaga, & Kannass",2010,Infancy,10.1111/j.1532-7078.2009.00012.x,"Despite the use of visual habituation over the past half century, relatively little is known about its underlying processes. We analyzed heart rate (HR) taken simultaneous with looking during infant‐controlled habituation sessions collected longitudinally at 4, 6, and 8 months of age with the goal of examining how HR and HR‐defined phases of attention change across habituation. There were four major findings. First, the depth and topography of decelerations and proportion of sustained attention (SA) did not vary across habituation at any age, which suggested (in contrast to the tenets of comparator theory) the persistence of substantial cognitive activity at the end of visual habituation. Second, attention termination (AT) robustly declined across trials, suggesting that, contrary to prior thinking, AT might be a sensitive indicant of visual learning. Third, infants at all ages showed an HR increase (startle) to stimulus onset on the first trial, the magnitude of which was associated with subsequent delayed HR deceleration and less SA; thus, stimulus events affect processing during trials. Finally, mean overall HR reliably increased across trials for all ages. This last finding implies the need to distinguish between “phasic” HR changes (e.g., decelerations during looks) and longer term “tonic” HR changes (mean increases across trials) during habituation, and raises the question of what processes the tonic increases might reflect within the habituation paradigm.","attention/selective attention, cognition/cognitive development, learning, memory, perception, habituation",1,No,4,208,6,200,8,191,,,"n = 208 for the 4-month-olds, n = 200 for the 6-month-olds, and n = 191 for the 8-month-olds (does not specify genders)","n = 208 for the 4-month-olds, n = 200 for the 6-month-olds, and n = 191 for the 8-month-olds (this was a longitudinal study)",No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
10/8/2020 15:59,rlyang@princeton.edu,"Laranjo, Bernier, Meins, & Carlson",2010,Infancy,10.1111/j.1532-7078.2009.00014.x,"This study investigated two aspects of mother–child relationships—mothers’ mind‐mindedness and infant attachment security—in relation to two early aspects of children’s theory of mind development (ToM). Sixty‐one mother–child dyads (36 girls) participated in testing phases at 12 (T1), 15 (T2), and 26 months of age (T3), allowing for assessment of maternal mind‐mindedness (T1), infant attachment (T2), and child ToM understanding (T3). Results indicated that children’s understanding of discrepant desires and visual perspectives was positively related to their mothers’ earlier use of appropriate mind‐related comments in certain contexts. Furthermore, more securely attached boys, but not girls, performed better on a task requiring comprehension of their mothers’ visual perspective. Hence, the links previously found between competent parenting and older children’s ToM performance appear to extend, to a certain degree, to toddlers’ first manifestations of ToM understanding.","attention/selective attention, cognition/cognitive development, emotion/emotional development, language, perception, theory of mind, attachment",1,Yes,12.9,25 boys; 36 girls,15.6,25 boys; 36 girls,26,25 boys; 36 girls,,,25 boys; 36 girls,"Longitudinal study with home visits at 12–13 months of age (T1; v = 12.9 months), 15–16 months (T2; v = 15.6 months), and 26 months.",Yes,Yes,"Fisher’s Z = 2.16, p < .05",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
10/8/2020 16:08,rlyang@princeton.edu,MacPherson & Moore,2010,Infancy,10.1111/j.1532-7078.2009.00011.x,"Infants (n = 24, mean age 13 months and n = 24, mean age 19 months) were tested on an extension of the method introduced by Tomasello and Haberl (2003) to examine the understanding of another person’s interest in a novel object. Four objects were presented serially. For two objects, infants played with an experimenter. The infant played with one object alone, and the experimenter played with one object alone. Finally, all four objects were presented together, and the experimenter excitedly asked for one without indicating which. Results showed that younger infants tended to chose the object that they had not yet played with, whereas older infants were significantly more likely to choose the object that the experimenter had not yet played with. These results are discussed in the context of research on the development of understanding diversity of simple object‐directed attitudes in the second year of life.","attention/selective attention, cognition/cognitive development, emotion/emotional development",1,No,13,11 boys; 13 girls,10,12 boys; 12 girls,,,,,24 infants between 12 and 14 months (13 girls; 11 boys) and 24 infants between 18 and 20 months (12 girls; 12 boys),13 and 19 month average age groups,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
10/15/2020 21:01,rlyang@princeton.edu,"Zieber, Bhatt, Hayden, Kangas, Collins, & Bada",2010,Infancy,10.1111/j.1532-7078.2009.00026.x,"Like faces, bodies are significant sources of social information. However, research suggests that infants do not develop body representation (i.e., knowledge about typical human bodies) until the second year of life, although they are sensitive to facial information much earlier. Yet, previous research only examined whether infants are sensitive to the typical arrangement of body parts. We examined whether younger infants have body knowledge of a different kind, namely the relative size of body parts. Five‐ and 9‐month‐old infants were tested for their preference between a normal versus a proportionally distorted body. Nine‐month‐olds exhibited a preference for the normal body when images were presented upright but not when they were inverted. Five‐month‐olds failed to exhibit a preference in either condition. These results indicate that infants have knowledge about human bodies by the second half of the first year of life. Moreover, given that better performance on upright than on inverted stimuli has been tied to expertise, the fact that older infants exhibited an inversion effect with body images indicates that at least some level of expertise in body processing develops by 9 months of age.","attention/selective attention, categorization, perception",1,No,5,23 boys; 9 girls,9,12 boys; 12 girls,,,,,12 boys; 12 girls (9-month-olds) and 23 boys; 9 girls (5-month-olds),9 and 5 (see previous column),No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
10/15/2020 21:05,rlyang@princeton.edu,"Liebal, Carpenter, & Tomasello",2010,Infancy,10.1111/j.1532-7078.2009.00028.x,"In this study, we asked whether 14‐ and 18‐month‐old infants use the experiences they have previously shared with others when deciding what to point to for them declaratively. After sharing a particular type of referent with an adult in an excited manner, 18‐month‐olds subsequently found a picture of that type of referent more worthy of declarative pointing than some other picture—but only for that adult, not for a different adult. Mixed results were found with 14‐month‐olds. We thus show that by 18 months, infants accurately track their shared experiences with specific individuals and use this to make communicative decisions. These results also demonstrate that infants sometimes use declarative pointing to indicate not totally “new” things, as in the classic formulation, but things which are “old” in the sense that “we” should recognize them as similar to something we have previously shared.","attention/selective attention, emotion/emotional development, language, learning, recognition",1,No,14,12 boys; 12 girls,18,13 boys; 11 girls,,,,,13 boys; 11 girls (18-month-olds) and 12 boys; 12 girls (14-month-olds),18 and 14 (see previous column),No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
10/15/2020 21:14,rlyang@princeton.edu,Aureli & Presaghi,2010,Infancy,10.1111/j.1532-7078.2010.00034.x,"Ten dyads were observed biweekly from 10 to 24 months of infant age while playing together at home with a set of toys. The aim was to examine whether mother–infant coregulation changes over the second year of the infant’s life and whether there are individual differences in that process. Normative trends as well as variability between and within dyads were tested using a multilevel modeling technique. We found that unilateral coregulation, in which only the mother was actively involved in play, largely prevailed at the beginning of the year and then decreased linearly, while symmetrical patterns, implying that the infant was also involved, were for the most part absent at the beginning but then increased rapidly, overtaking unilateral from the middle of the year on and becoming predominant by the end. In particular, symmetrical episodes of shared affect and shared action increased first and then decreased, being replaced by shared language. Variability in data was significant between the dyads, with some dyads advancing toward symmetrical coregulation at an earlier age and more rapidly than the others. It was also significant within the dyads, as the increase in symmetrical coregulation unfolded in a quite irregular manner across the sessions, unlike the decrease in unilateral. Results are discussed with reference to a view of joint attention development as a gradual and complex process.","attention/selective attention, language",1,No,10,6 boys; 4 girls,24,6 boys; 4 girls,,,,,6 boys; 4 girls,longitudinal study from 10 to 24 months old,Yes,Yes,"Only asymmetrical patterns were influenced by the fixed effect of infant’s gender (v2 [1] = 4.02, p < .05), with girls showing greater proportional durations of this pattern than boys.

Both action and language patterns were significantly affected by gender (v2 [1] = 8.20, p < .01; v2 [1] = 12.92, p < .01, respectively), with boys being lower in action and higher in language than girls. For language pat-terns, however, this eﬀect was qualiﬁed by the interaction eﬀect betweengender and time (v2[1] = 11.80, p < .01). *additional statistics reported on a table on page 569*",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
10/18/2020 20:38,rlyang@princeton.edu,"Molteno, Jacobson, Carter, & Jacobson",2010,Infancy,10.1111/j.1532-7078.2010.00031.x,"Infant symbolic play was examined in relation to prenatal alcohol exposure and socioenvironmental background and to predict which infants met criteria for fetal alcohol syndrome (FAS) at 5 years. A total of 107 Cape‐Colored, South African infants born to heavy drinking mothers and abstainers/light drinkers were recruited prenatally. Complexity of play, sociodemographic and psychological correlates of maternal alcohol use, and quality of parenting were assessed at 13 months, and intelligence quotient and FAS diagnosis at 5 years. The effect of drinking on spontaneous play was not significant after control for social environment. In contrast, prenatal alcohol and quality of parenting related independently to elicited play. Elicited play predicted 5‐year Digit Span and was poorer in infants subsequently diagnosed with FAS/partial FAS and in nonsyndromal heavily exposed infants, compared with abstainers/light drinkers. Thus, symbolic play may provide an early indicator of risk for alcohol‐related deficits. The independent effects of prenatal alcohol and quality of parenting suggest that infants whose symbolic play is adversely affected by alcohol exposure may benefit from stimulation from a responsive caregiver.","attention/selective attention, cognition/cognitive development, executive function/control, language, memory, symbolic play",1,No,6.5,57 boys; 50 girls,12,57 boys; 50 girls,13,57 boys; 50 girls,60,57 boys; 50 girls,57 boys; 50 girls,"longitudinal study at 6.5, 12, and 13 months and 5 years",Yes,No,"No significant gender differences were found for spontaneous or elicited
play (both ps > .20)",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
10/22/2020 15:40,rlyang@princeton.edu,"Wachs, Posada, Carbonell, Creed‐Kanashiro, & Gurkas",2011,Infancy,10.1111/j.1532-7078.2010.00040.x,"A notable omission in studies of developmental links to early nutritional deficiencies is infant attachment. In those few studies investigating associations between infant nutrition and attachment, nutrition was defined solely by physical growth, and infants had moderate–severe growth retardation. In this study, we utilized multiple markers of infant nutrition. Our sample consisted of 172 12‐month‐old Peruvian infants and their mothers from low‐income families, with a follow‐up assessment on 77 infants at 18 months. Infants were not severely malnourished, but did have micronutrient deficiencies. Anthropometry, dietary intake, and iron status were used as measures of infant nutrition. Based on infant behavior in a structured laboratory situation, Q‐sort techniques were used to rate three attachment markers: infant secure base behavior, interaction quality, and negative emotionality with mother. At 12 months, infant weight was positively related to interaction quality. At 18 months, infant iron status was positively related to secure base behavior. This pattern of findings remained even after statistically controlling for family socioeconomic status and maternal education. Our findings indicate that infant nutritional status is associated with markers of infant attachment and these associations are not restricted just to severely malnourished infants.","emotion/emotional development, attachment",1,No,12,172,18,104,,,,,172 at 12 months; 104 at 18 months,longitudinal study tested at 12-months and 18-months,Yes,No,"No statistics reported; ""as infant gender was unrelated to either our predictor or outcome measures, the analysis was computed using the combined total sample of males
and females.""",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
10/22/2020 15:45,rlyang@princeton.edu,Seehagen & Herbert,2011,Infancy,10.1111/j.1532-7078.2010.00045.x,"Developmental changes in learning from peers and adults during the second year of life were assessed using an imitation paradigm. Independent groups of 15‐ and 24‐month‐old infants watched a prerecorded video of an unfamiliar child or adult model demonstrating a series of actions with objects. When learning was assessed immediately, 15‐month‐old infants imitated the target actions from the adult, but not the peer whereas 24‐month‐old infants imitated the target actions from both models. When infants’ retention was assessed after a 10‐min delay, only 24‐month‐old infants who had observed the peer model exhibited imitation. Across both ages, there was a significant positive correlation between the number of actions imitated from the peer and the length of regular peer exposure reported by caregivers. Length of peer exposure was not related to imitation from the adult model. Taken together, these findings indicate that a peer‐model advantage develops as a function of age and experience during the second year of life.","attention/selective attention, cognition/cognitive development, learning, memory, imitation",1,No,15,62 boys; 58 girls,24,62 boys; 58 girls,,,,,62 boys; 58 girls,within 2 weeks of turning 15 (n = 60) or 24 months of age (n = 60),Yes,No,"there were no gender differences in visual attention to the screen at either age, biggest t(57) = 1.19, p = .24

there were no gender differences in imitation scores at either of the two ages, biggest t(58) = .54, p = .59",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
10/26/2020 19:35,rlyang@princeton.edu,"Ekas, Braungart‐Rieker, Lickenbrock, Zentall, & Maxwell",2011,Infancy,10.1111/j.1532-7078.2010.00042.x,"The present study investigated temporal associations between putative emotion regulation strategies and negative affect in 20‐month‐old toddlers. Toddlers’ parent‐focused, self‐distraction, and toy‐focused strategies, as well as negative affect, were rated on a second‐by‐second basis during laboratory parent–toddler interactions. Longitudinal mixed‐effects models were conducted to determine the degree to which behavioral strategy use predicts subsequent negative affect and negative affect predicts subsequent strategy use. Results with mother–toddler and father–toddler dyads indicated that parent‐focused strategies with an unresponsive parent were followed by increases in negative affect, whereas toy‐focused strategies were followed by decreases in negative affect. Results also indicated that toddler negative affect serves to regulate behavioral strategy use within both parent contexts.","attention/selective attention, emotion/emotional development, behavioral strategies",1,No,3,83 boys; 52 girls,5,83 boys; 52 girls,14,83 boys; 52 girls,20,83 boys; 52 girls,83 boys; 52 girls,"longitudinal study at 3, 5, 7, 12, 14, and 20 (±14 days) months of age",Yes,No,"No statistics;  ""differences in toddler behaviors with mothers or fathers as a function of child gender or parent context were nonsignificant.""",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
