d,num_samples,sample_size_per_condition,percent_ns,mean_1,mean_2,sd,true_d,sig_counter,mean_d_sigonly,mean_d_sig_percent,mean_d_all
0,20000,10,0,100,100,15,0,998,0.024449457366009758,0.024449457366009758,-9.362259866352633e-4
0.01,20000,10,0,100,100.15,15,0.010000000000000378,1002,0.03851235255767207,0.03851235255767207,0.01043707872292862
0.02,20000,10,0,100,100.3,15,0.01999999999999981,962,0.11095821271726353,0.11095821271726353,0.017272645143882895
0.03,20000,10,0,100,100.45,15,0.03000000000000019,995,0.18576290857963337,0.18576290857963337,0.029075965078428533
0.04,20000,10,0,100,100.6,15,0.03999999999999962,948,0.20926806247621638,0.20926806247621638,0.042805434476797743
0.05,20000,10,0,100,100.75,15,0.05,963,0.2235575484138234,0.2235575484138234,0.04943713468762995
0.06,20000,10,0,100,100.9,15,0.06000000000000038,1038,0.27523363881722446,0.27523363881722446,0.0575531510018012
0.07,20000,10,0,100,101.05,15,0.06999999999999981,988,0.45758909385239066,0.45758909385239066,0.07284378043022348
0.08,20000,10,0,100,101.2,15,0.0800000000000002,1026,0.4168403592821592,0.4168403592821592,0.07977431341398131
0.09,20000,10,0,100,101.35,15,0.08999999999999962,1066,0.4960285036184181,0.4960285036184181,0.09348065761491103
0.1,20000,10,0,100,101.5,15,0.1,1027,0.5612149885675458,0.5612149885675458,0.10842047638034813
0.11,20000,10,0,100,101.65,15,0.11000000000000038,1121,0.6079323327786268,0.6079323327786268,0.11868664726404227
0.12,20000,10,0,100,101.8,15,0.11999999999999982,1091,0.6517524292381308,0.6517524292381308,0.12338051728469465
0.13,20000,10,0,100,101.95,15,0.1300000000000002,1097,0.6675104249746074,0.6675104249746074,0.13318674686214874
0.14,20000,10,0,100,102.1,15,0.13999999999999962,1203,0.7419100035121786,0.7419100035121786,0.14890545062126634
0.15,20000,10,0,100,102.25,15,0.15,1203,0.7899915346937824,0.7899915346937824,0.15607673310141565
0.16,20000,10,0,100,102.4,15,0.1600000000000004,1188,0.8123815224433306,0.8123815224433306,0.16781744235481252
0.17,20000,10,0,100,102.55,15,0.16999999999999982,1282,0.8532363394428975,0.8532363394428975,0.18006003711578356
0.18,20000,10,0,100,102.7,15,0.1800000000000002,1353,0.878695814874402,0.878695814874402,0.19134900762066626
0.19,20000,10,0,100,102.85,15,0.1899999999999996,1328,0.9057097272047064,0.9057097272047064,0.1992216021055911
0.2,20000,10,0,100,103,15,0.2,1402,0.8871489596762047,0.8871489596762047,0.2054828003542137
0.21,20000,10,0,100,103.15,15,0.21000000000000038,1435,0.9682620227901513,0.9682620227901513,0.2192480281869417
0.22,20000,10,0,100,103.3,15,0.2199999999999998,1525,0.9473016888184754,0.9473016888184754,0.23454567842787657
0.23,20000,10,0,100,103.45,15,0.23000000000000018,1554,0.9919006881110154,0.9919006881110154,0.24667461471336152
0.24,20000,10,0,100,103.6,15,0.23999999999999963,1584,0.9857741744434093,0.9857741744434093,0.2513979099470484
0.25,20000,10,0,100,103.75,15,0.25,1567,1.0028887119139052,1.0028887119139052,0.2608290387356202
0.26,20000,10,0,100,103.9,15,0.2600000000000004,1675,1.008289700397614,1.008289700397614,0.26518620562828793
0.27,20000,10,0,100,104.05,15,0.2699999999999998,1776,1.0695868871443364,1.0695868871443364,0.2851134979408255
0.28,20000,10,0,100,104.2,15,0.2800000000000002,1791,1.0488975185015816,1.0488975185015816,0.29390107648517644
0.29,20000,10,0,100,104.35,15,0.28999999999999965,1800,1.0734527893446382,1.0734527893446382,0.3010821747116063
0.3,20000,10,0,100,104.5,15,0.3,1866,1.0788197364131746,1.0788197364131746,0.30713416389282155
0.31,20000,10,0,100,104.65,15,0.3100000000000004,1955,1.1152691502183134,1.1152691502183134,0.3259722581689327
0.32,20000,10,0,100,104.8,15,0.3199999999999998,2070,1.117065473808545,1.117065473808545,0.3355313619844097
0.33,20000,10,0,100,104.95,15,0.3300000000000002,2129,1.1267993902304136,1.1267993902304136,0.3455990055712201
0.34,20000,10,0,100,105.1,15,0.33999999999999964,2152,1.1481398124141222,1.1481398124141222,0.35765359795640933
0.35000000000000003,20000,10,0,100,105.25,15,0.35,2216,1.1372188825915455,1.1372188825915455,0.35760042564147815
0.36,20000,10,0,100,105.4,15,0.3600000000000004,2359,1.1535892878246765,1.1535892878246765,0.3746957459419107
0.37,20000,10,0,100,105.55,15,0.36999999999999983,2425,1.1621673778407728,1.1621673778407728,0.3918917718129814
0.38,20000,10,0,100,105.7,15,0.38000000000000017,2542,1.1700473420997723,1.1700473420997723,0.40286353881612214
0.39,20000,10,0,100,105.85,15,0.3899999999999996,2551,1.181633093838738,1.181633093838738,0.4138249935006668
0.4,20000,10,0,100,106,15,0.4,2645,1.1862212699434833,1.1862212699434833,0.4196741475388688
0.41000000000000003,20000,10,0,100,106.15,15,0.41000000000000036,2769,1.1903451750887855,1.1903451750887855,0.43358324782989255
0.42,20000,10,0,100,106.3,15,0.4199999999999998,2857,1.1918292336604737,1.1918292336604737,0.43672141779797885
0.43,20000,10,0,100,106.45,15,0.4300000000000002,2884,1.1872749105773903,1.1872749105773903,0.44701354596960774
0.44,20000,10,0,100,106.6,15,0.4399999999999996,3032,1.1978892767309584,1.1978892767309584,0.46011252211374215
0.45,20000,10,0,100,106.75,15,0.45,3148,1.2139176690727487,1.2139176690727487,0.4750621863834347
0.46,20000,10,0,100,106.9,15,0.46000000000000035,3181,1.2147076992547554,1.2147076992547554,0.4778459362247166
0.47000000000000003,20000,10,0,100,107.05,15,0.4699999999999998,3400,1.2166706391985767,1.2166706391985767,0.49284825969392776
0.48,20000,10,0,100,107.2,15,0.4800000000000002,3455,1.209564087661745,1.209564087661745,0.49694459616290587
0.49,20000,10,0,100,107.35,15,0.4899999999999996,3504,1.2260141351243514,1.2260141351243514,0.5126581673644295
0.5,20000,10,0,100,107.5,15,0.5,3572,1.229109336030547,1.229109336030547,0.5196234098268707
0.51,20000,10,0,100,107.65,15,0.5100000000000003,3723,1.2278387144669913,1.2278387144669913,0.5293117012839157
0.52,20000,10,0,100,107.8,15,0.5199999999999998,3871,1.2353670665954355,1.2353670665954355,0.5418246940916666
0.53,20000,10,0,100,107.95,15,0.5300000000000001,4049,1.2335856385767074,1.2335856385767074,0.5516408821381321
0.54,20000,10,0,100,108.1,15,0.5399999999999996,4093,1.2443728951700592,1.2443728951700592,0.5636884552622369
0.55,20000,10,0,100,108.25,15,0.55,4122,1.2427776903707282,1.2427776903707282,0.5711632517326626
0.56,20000,10,0,100,108.4,15,0.5600000000000004,4391,1.251210696176623,1.251210696176623,0.58843110857808
0.5700000000000001,20000,10,0,100,108.55,15,0.5699999999999998,4471,1.2464026048487244,1.2464026048487244,0.5971513884549493
0.58,20000,10,0,100,108.7,15,0.5800000000000002,4504,1.2531300586315823,1.2531300586315823,0.6009795716063571
0.59,20000,10,0,100,108.85,15,0.5899999999999996,4817,1.2560830424575298,1.2560830424575298,0.6209881165101924
0.6,20000,10,0,100,109,15,0.6,4875,1.263717302083696,1.263717302083696,0.628471618949323
0.61,20000,10,0,100,109.15,15,0.6100000000000004,4963,1.2666141453378268,1.2666141453378268,0.6385331012571129
0.62,20000,10,0,100,109.3,15,0.6199999999999998,5036,1.2651292017865663,1.2651292017865663,0.6450674335892229
0.63,20000,10,0,100,109.45,15,0.6300000000000002,5236,1.2806672415889349,1.2806672415889349,0.6582625788085754
0.64,20000,10,0,100,109.6,15,0.6399999999999996,5284,1.2808850689678473,1.2808850689678473,0.6695270036289227
0.65,20000,10,0,100,109.75,15,0.65,5566,1.27658725989177,1.27658725989177,0.6795396766970161
0.66,20000,10,0,100,109.9,15,0.6600000000000004,5602,1.2812719738338996,1.2812719738338996,0.6868868751180286
0.67,20000,10,0,100,110.05,15,0.6699999999999998,5837,1.2800691689357817,1.2800691689357817,0.7005923665905457
0.68,20000,10,0,100,110.2,15,0.6800000000000002,5948,1.2843482391356822,1.2843482391356822,0.71005921467940325
0.6900000000000001,20000,10,0,100,110.35,15,0.6899999999999996,6001,1.279195124344505,1.279195124344505,0.7163566681561895
0.7000000000000001,20000,10,0,100,110.5,15,0.7,6318,1.2970190353307134,1.2970190353307134,0.7382461199858832
0.71,20000,10,0,100,110.65,15,0.7100000000000004,6386,1.2927816254442257,1.2927816254442257,0.7410116666753738
0.72,20000,10,0,100,110.8,15,0.7199999999999999,6458,1.2955310932235982,1.2955310932235982,0.7468342306004053
0.73,20000,10,0,100,110.95,15,0.7300000000000002,6639,1.300669800790036,1.300669800790036,0.7618048886493691
0.74,20000,10,0,100,111.1,15,0.7399999999999997,6685,1.3045256232078424,1.3045256232078424,0.7656555410024954
0.75,20000,10,0,100,111.25,15,0.75,6958,1.3088275289271964,1.3088275289271964,0.7855036982432907
0.76,20000,10,0,100,111.4,15,0.7600000000000003,7315,1.3099813406606597,1.3099813406606597,0.7999611280621376
0.77,20000,10,0,100,111.55,15,0.7699999999999998,7349,1.3098005053921644,1.3098005053921644,0.8065165270308843
0.78,20000,10,0,100,111.7,15,0.7800000000000001,7313,1.3116036945862368,1.3116036945862368,0.8086066503616846
0.79,20000,10,0,100,111.85,15,0.7899999999999996,7660,1.3138250607936572,1.3138250607936572,0.8276107516274591
0.8,20000,10,0,100,112,15,0.8,7878,1.3217485918310796,1.3217485918310796,0.8365016021378274
0.81,20000,10,0,100,112.15,15,0.8100000000000004,7951,1.3273777647610334,1.3273777647610334,0.8475494723244588
0.8200000000000001,20000,10,0,100,112.3,15,0.8199999999999998,8124,1.3333370758762888,1.3333370758762888,0.8566413258663645
0.8300000000000001,20000,10,0,100,112.45,15,0.8300000000000002,8234,1.3317559617173989,1.3317559617173989,0.8635441606779523
0.84,20000,10,0,100,112.6,15,0.8399999999999996,8373,1.3312185914938024,1.3312185914938024,0.874441658100947
0.85,20000,10,0,100,112.75,15,0.85,8541,1.3372032147024966,1.3372032147024966,0.8838426647986506
0.86,20000,10,0,100,112.9,15,0.8600000000000004,8792,1.340176350103099,1.340176350103099,0.8959818824020105
0.87,20000,10,0,100,113.05,15,0.8699999999999998,9000,1.3452340126199864,1.3452340126199864,0.9105056345377122
0.88,20000,10,0,100,113.2,15,0.8800000000000002,9058,1.3495308278534628,1.3495308278534628,0.9151479822652087
0.89,20000,10,0,100,113.35,15,0.8899999999999996,9304,1.3509953559929069,1.3509953559929069,0.9294180652848896
0.9,20000,10,0,100,113.5,15,0.9,9444,1.3580828387043753,1.3580828387043753,0.9420773942160379
0.91,20000,10,0,100,113.65,15,0.9100000000000004,9609,1.3613904906310996,1.3613904906310996,0.9497740415210341
0.92,20000,10,0,100,113.8,15,0.9199999999999998,9821,1.3651211031979085,1.3651211031979085,0.9622289545621628
0.93,20000,10,0,100,113.95,15,0.9300000000000002,9828,1.3677153994501348,1.3677153994501348,0.9676401575573994
